6029,sigi55,0,1,258,9932
6466,Lindi,134,1,789,2995
6626,Fir3blad3,76,1,1119,1200
7022,Little+Condor,459,1,1248,844
7487,rumpel,418,1,1099,1264
7627,Morchel,463,3,4324,58
7740,DBGTMaster,0,1,26,14428
8482,Eltan,0,1,1008,1640
10452,WinGman,0,1,620,4542
11243,MaderusBanderus,108,1,964,1875
11451,birax,102,1,235,10371
12046,AgroNaut36,0,1,48,14014
14157,alt_f4,151,1,129,12481
14621,sacrifice,326,1,497,6014
15705,Liebesengel,134,1,1055,1447
16262,Nodor,0,1,506,5925
19756,Creeping+Death,0,1,167,11890
20184,Gandalf+der+wei%C3%9Fe,212,1,749,3305
20185,dagger,237,1,1422,510
21116,muha,0,1,129,12482
22944,RoyalNavy,1568,1,428,6924
23666,General+Bitburger,0,1,304,9059
26503,OnRuSh_de,555,1,1219,927
32452,Leitwolf,0,1,680,3954
32583,Sir+Dodge,1146,1,1065,1396
34735,egge,159,1,469,6371
35303,Bahamutnull,1297,1,1097,1270
37050,Superior2,0,1,76,13340
38184,RaMoK,688,1,320,8767
38559,tiffi91,0,1,26,14429
38959,Artis,0,1,832,2665
39316,Bantam,605,1,475,6287
40718,Nimptsch,0,1,617,4569
45014,pyrox,0,1,384,7679
46068,Gehirnpfirsich,63,1,2027,231
46212,Ragewear,418,1,1180,1018
47969,Alizee,605,1,554,5288
49559,ARTHURIUS,0,1,720,3548
49617,schurik333,0,1,26,14430
50257,Krieger+Nr.1,1406,1,670,4057
50873,Z4RR4T,529,1,495,6040
52534,roter+rabe,12,1,624,4498
54902,werner571,0,1,26,14431
55359,jonny90,0,1,307,9001
57210,nuFF,180,1,917,2152
60416,Skally,0,1,634,4397
60436,Grizzley,0,1,95,13052
63266,mi1805,120,1,1444,490
63298,antiCHRISTof,1735,1,2736,141
63318,sharkbit,65,1,227,10576
64657,Sir+Fitz+Oblong,0,1,625,4487
67382,DaRkDeAtH1,0,1,223,10702
72831,killmaster,78,1,26,14432
73545,spongejulkopf,0,1,151,12195
75587,LaDoIn,0,1,700,3743
75989,Alexa,0,1,26,14433
76242,Blade_kod,0,1,179,11628
77013,Thrakischer+Heeresf%C3%BChrer,169,1,651,4237
77282,HcJunkie,1206,1,674,4014
77480,Tom408,0,1,411,7189
79971,maikilein,0,1,479,6245
81750,hundemutter,0,1,368,8039
83440,Team+Chaos,0,1,26,14434
83886,eXodus1987,244,1,1435,497
84618,Killer-Nili,54,1,523,5659
86219,vipaRe,30,1,706,3673
86955,Wesley+Sniper,192,1,275,9647
87803,mudder,0,1,521,5689
88641,imiak,0,1,525,5638
88945,Sith+Master,1167,1,1296,719
92754,deffgod,1618,1,320,8768
96551,Lord+Bergi,135,1,460,6475
104149,F%21RE-FoX,0,1,180,11605
104313,yussuf,322,1,688,3867
104888,pillpall,103,1,864,2457
105598,alidinho,0,1,72,13611
